Stock	Time	Last	Chg	Chg%	TVal	%Val	TLot	%Lot	TFrq	%Frq	Type	Stock Name	Corp. Action	
INKPZPCK6A	11:28:52	45	4	9.8	16004700	45	3629	44	4	50	S_WARI	SW Call 45:1 x8800 INKP 20 May 26 Maybank (ZP)	-	
ESSAZPCQ6A	11:51:54	15	-4	-21.1	15836800	49	10945	47	13	53	S_WARI	SW Call 8:1 x680 ESSA 26 Aug 26 Maybank (ZP)	-	
BBMD	11:41:17	2020	30	1.5	15756000	4	78	3	8	25	ORDI_PREOPEN	Bank Mestika Dharma Tbk.	-	
LPIN	11:46:43	446	4	0.9	15513200	56	349	56	44	50	ORDI_PREOPEN	Multi Prima Sejahtera Tbk	-	
ADROBQCJ6A	09:10:21	77	3	4.1	15400000	49	2000	50	3	66	S_WARI	SW Call 4,6334:1 x2205 ADRO 27 Apr 26 KISI (BQ)	-	
PGEOHDCH6A	11:51:06	3	-1	-25.0	15150700	14	48677	11	73	32	S_WARI	SW Call 5:1 x1743 PGEO 12 Mar 26 KGI (HD)	-	
UNVRZPCM6A	09:40:07	84	6	7.7	15122900	28	1813	27	3	66	S_WARI	SW Call 6,7684:1 x1934 UNVR 25 Jun 26 Maybank (ZP)	-	
JPFADRCJ6A	10:36:05	127	-3	-2.3	15030300	90	1202	90	10	60	S_WARI	SW Call 6:1 x1850 JPFA 20 Apr 26 RHB (DR)	-	
TBMS	11:21:11	1420	-15	-1.0	14942000	36	105	36	14	28	ORDI_PREOPEN	Tembaga Mulia Semanan Tbk.	-	
POLY	11:55:01	34	3	9.7	14919200	66	4388	66	47	61	WATCH_CALL	Asia Pacific Fibers Tbk	-	
BBCADRCM6A	11:28:07	34	-2	-5.6	14803300	48	4350	47	14	64	S_WARI	SW Call 11:1 x10700 BBCA 5 Jun 26 RHB (DR)	-	
ASDM	11:52:20	650	-5	-0.8	14724000	50	224	49	47	55	ORDI_PREOPEN	Asuransi Dayin Mitra Tbk.	-	
BBCAHDCN6A	11:18:06	19	-1	-5.0	14721100	18	7749	17	18	66	S_WARI	SW Call 24,83582:1 x10371 BBCA 9 Jul 26 KGI (HD)	-	
PNLFBQCM6A	09:38:52	18	-1	-5.3	14500000	13	8000	12	5	20	S_WARI	SW Call 3:1 x310 PNLF 25 Jun 26 KISI (BQ)	-	
YUPI	11:33:46	1565	5	0.3	14465000	54	92	54	22	27	ORDI_PREOPEN	Yupi Indo Jelly Gum Tbk.	-	
ANTMBQCN6A	11:27:35	101	2	2.0	14415600	45	1434	44	16	43	S_WARI	SW Call 10:1 x5390 ANTM 28 Jul 26 KISI (BQ)	-	
BRMSBQCM6A	09:49:52	56	0	0.0	13992800	0	2463	0	3	0	S_WARI	SW Call 4:1 x1652 BRMS 25 Jun 26 KISI (BQ)	-	
CMPP	11:55:01	91	-1	-1.1	13934100	0	1515	0	23	0	WATCH_CALL	AirAsia Indonesia Tbk.	-	
IPAC	11:54:35	171	-3	-1.7	13899400	74	810	73	49	55	ACCEL	Era Graharealty Tbk.	-	
BBRIBQCJ6A	11:17:50	18	-1	-5.3	13785800	82	7328	81	9	55	S_WARI	SW Call 9,6376:1 x4636 BBRI 27 Apr 26 KISI (BQ)	-	
TALF	11:58:39	625	-20	-3.1	13653000	33	216	33	24	29	ORDI_PREOPEN	Tunas Alfin Tbk.	-	
TRGU	11:42:31	192	-1	-0.5	13550600	50	703	50	57	78	ORDI_PREOPEN	Cerestar Indonesia Tbk.	-	
CTRADRCJ6A	11:54:19	6	1	20.0	13469500	53	26130	51	64	64	S_WARI	SW Call 6:1 x1100 CTRA 20 Apr 26 RHB (DR)	-	
OMRE	11:55:01	665	60	9.9	13300000	22	200	22	6	33	WATCH_CALL	Indonesia Prima Property Tbk	-	
